PM2.5,PM10,PM1.0,DATE,ID
0,0,0,2020-11-04 15:31:11,2
4,6,4,2020-11-04 15:31:41,2
3,6,3,2020-11-04 15:34:44,2
4,7,4,2020-11-04 15:35:14,2
0,0,0,2020-11-04 15:36:40,2
4,7,4,2020-11-04 15:37:10,2
6,8,3,2020-11-04 15:37:41,2
9,10,3,2020-11-04 15:38:12,2
11,14,4,2020-11-04 15:38:42,2
9,11,3,2020-11-04 15:39:13,2
7,8,4,2020-11-04 15:39:43,2
4,6,4,2020-11-04 15:40:14,2
4,6,4,2020-11-04 15:40:44,2
3,5,3,2020-11-04 15:41:14,2
6,7,4,2020-11-04 15:41:44,2
6,7,3,2020-11-04 15:42:15,2
6,7,3,2020-11-04 15:42:45,2
4,4,4,2020-11-04 15:43:15,2
9,10,4,2020-11-04 15:43:45,2
9,11,5,2020-11-04 15:44:16,2
10,13,5,2020-11-04 15:44:46,2
7,9,5,2020-11-04 15:45:16,2
9,12,4,2020-11-04 15:45:46,2
8,10,4,2020-11-04 15:46:17,2
7,9,4,2020-11-04 15:46:47,2
8,10,5,2020-11-04 15:47:17,2
13,14,5,2020-11-04 15:47:48,2
15,17,5,2020-11-04 15:48:18,2
13,14,5,2020-11-04 15:48:48,2
10,13,5,2020-11-04 15:49:18,2
10,13,5,2020-11-04 15:49:49,2
7,10,5,2020-11-04 15:50:19,2
8,8,5,2020-11-04 15:50:49,2
5,5,5,2020-11-04 15:51:19,2
7,8,4,2020-11-04 15:51:50,2
10,12,5,2020-11-04 15:52:20,2
14,16,7,2020-11-04 15:52:50,2
16,18,6,2020-11-04 15:53:20,2
18,18,5,2020-11-04 15:53:51,2
17,18,4,2020-11-04 15:54:21,2
14,16,4,2020-11-04 15:54:51,2
12,14,5,2020-11-04 15:55:21,2
10,11,5,2020-11-04 15:55:52,2
11,12,6,2020-11-04 15:56:22,2
11,12,7,2020-11-04 15:56:53,2
13,15,6,2020-11-04 15:57:24,2
10,11,5,2020-11-04 15:57:54,2
7,8,4,2020-11-04 15:58:30,2
3,4,3,2020-11-04 15:59:00,2
4,4,4,2020-11-04 15:59:30,2
4,5,4,2020-11-04 16:00:01,2
5,7,5,2020-11-04 16:00:31,2
4,6,4,2020-11-04 16:01:01,2
4,7,4,2020-11-04 16:01:31,2
6,8,4,2020-11-04 16:02:02,2
6,8,4,2020-11-04 16:02:32,2
10,13,5,2020-11-04 16:03:02,2
8,10,5,2020-11-04 16:03:32,2
8,11,6,2020-11-04 16:04:03,2
5,7,5,2020-11-04 16:04:33,2
4,8,4,2020-11-04 16:05:04,2
3,5,3,2020-11-04 16:05:34,2
4,8,2,2020-11-04 16:06:04,2
4,6,2,2020-11-04 16:06:35,2
5,8,3,2020-11-04 16:07:05,2
3,5,3,2020-11-04 16:07:35,2
3,5,3,2020-11-04 16:08:06,2
2,6,2,2020-11-04 16:08:37,2
3,6,3,2020-11-04 16:09:07,2
5,9,3,2020-11-04 16:09:38,2
8,10,3,2020-11-04 16:10:08,2
11,13,3,2020-11-04 16:10:39,2
15,16,4,2020-11-04 16:11:09,2
15,17,5,2020-11-04 16:11:40,2
10,10,5,2020-11-04 16:12:10,2
6,6,4,2020-11-04 16:12:40,2
7,7,4,2020-11-04 16:13:11,2
7,8,5,2020-11-04 16:13:42,2
5,6,5,2020-11-04 16:14:12,2
7,8,5,2020-11-04 16:14:42,2
7,9,4,2020-11-04 16:15:12,2
6,9,4,2020-11-04 16:15:42,2
4,7,4,2020-11-04 16:16:13,2
7,8,4,2020-11-04 16:16:43,2
9,9,6,2020-11-04 16:17:13,2
10,10,7,2020-11-04 16:17:44,2
6,6,6,2020-11-04 16:18:14,2
7,8,5,2020-11-04 16:18:44,2
7,7,4,2020-11-04 16:19:14,2
8,9,5,2020-11-04 16:19:45,2
6,7,6,2020-11-04 16:20:15,2
7,7,7,2020-11-04 16:20:45,2
6,6,6,2020-11-04 16:21:16,2
4,5,4,2020-11-04 16:21:46,2
4,5,4,2020-11-04 16:22:16,2
4,5,4,2020-11-04 16:22:46,2
10,10,5,2020-11-04 16:23:17,2
9,10,5,2020-11-04 16:23:47,2
9,10,5,2020-11-04 16:24:17,2
4,5,4,2020-11-04 16:24:47,2
4,5,4,2020-11-04 16:25:18,2
5,7,5,2020-11-04 16:25:48,2
4,6,4,2020-11-04 16:26:18,2
5,7,5,2020-11-04 16:26:48,2
7,9,5,2020-11-04 16:27:18,2
9,11,7,2020-11-04 16:27:49,2
9,10,6,2020-11-04 16:28:20,2
6,7,6,2020-11-04 16:28:50,2
5,5,5,2020-11-04 16:29:20,2
5,6,5,2020-11-04 16:29:50,2
5,7,5,2020-11-04 16:30:21,2
4,8,4,2020-11-04 16:30:51,2
4,7,4,2020-11-04 16:31:21,2
4,8,4,2020-11-04 16:31:51,2
7,9,5,2020-11-04 16:32:22,2
9,10,6,2020-11-04 16:32:52,2
11,13,5,2020-11-04 16:33:22,2
10,13,5,2020-11-04 16:33:54,2
9,12,4,2020-11-04 16:34:24,2
8,12,3,2020-11-04 16:34:55,2
6,7,3,2020-11-04 16:35:25,2
7,8,5,2020-11-04 16:35:55,2
5,5,5,2020-11-04 16:36:25,2
6,6,6,2020-11-04 16:36:56,2
10,10,5,2020-11-04 16:37:26,2
10,11,4,2020-11-04 16:37:56,2
